Composition,Uses
Atenolol (50mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Minoxidil (10% w/v),Treatment of Hair loss
Dulaglutide (1.5mg/0.5ml),Treatment of Type 2 diabetes mellitus
Ticagrelor (90mg), Prevention of heart attack and stroke
Tretinoin (0.04% w/w),Treatment of Acne Acute promyelocytic leukaemia
Metformin (500mg) + Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Tadalafil (10mg) + Dapoxetine (30mg),Treatment of Premature ejaculation
Tacrolimus (0.1% w/w),Treatment of Atopic dermatitis
Tobramycin (300mg),Treatment and prevention of Lung infections in patients with cystic fibrosis
Cilnidipine (10mg) + Telmisartan (40mg),Treatment of Hypertension (high blood pressure)
Clobetasol (0.05% w/w) + Neomycin (0.5% w/w),Treatment of Bacterial skin infections
Terbutaline (1.25mg/5ml) + Bromhexine (4mg/5ml) + Ammonium Chloride (50mg/5ml) + Menthol (0.75mg/5ml), Cough
Tolperisone (150mg), Muscle relaxation
Glimepiride (2mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Telmisartan (40mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Telmisartan (80mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Timolol (0.5% w/v), Glaucoma Ocular hypertension
Gabapentin (300mg) + Methylcobalamin (0.5mg) + Alpha Lipoic Acid (100mg), Neuropathic pain
Telmisartan (40mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Trioxasalen (25mg), Vitiligo Psoriasis
Telmisartan (40mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Tadalafil (20mg),Treatment of Erectile dysfunctionTreatment of Pulmonary arterial hypertension (PAH)
Ticagrelor (90mg), Prevention of heart attack and stroke
Paracetamol (125mg/5ml), Pain reliefTreatment of Fever
Telmisartan (40mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Bromelain (90mg) + Trypsin (48mg) + Rutoside (100mg), Pain relief
Tranexamic Acid (500mg) + Mefenamic Acid (250mg),Treatment of Heavy menstrual bleedingTreatment of Menstrual pain
Telmisartan (80mg) + Hydrochlorothiazide (12.5mg),Treatment of Hypertension (high blood pressure)
Telmisartan (40mg) + Chlorthalidone (6.25mg), Hypertension (high blood pressure)
Tranexamic Acid (650mg),Treatment of Bleeding
Perindopril erbumine (4mg) + Indapamide (1.25mg) + Amlodipine (5mg), Hypertension (high blood pressure)
Levetiracetam (500mg),Treatment of Epilepsy/Seizures
Telmisartan (40mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Tacrolimus (0.1% w/w),Treatment of Atopic dermatitis
Tacrolimus (0.1% w/w),Treatment of Atopic dermatitis
Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Tamsulosin (0.4mg),Treatment of Benign prostatic hyperplasia
Caroverine (20mg), Tinnitus (ringing in the ears)Treatment of Abdominal pain
Phenylephrine (5mg/5ml) + Chlorpheniramine Maleate (2mg/5ml) + Dextromethorphan Hydrobromide (10mg/5ml),Treatment of Dry cough
Tacrolimus (0.1% w/w),Treatment of Atopic dermatitis
Tinidazole (300mg), Bacterial infections Parasitic infections
Tadalafil (20mg),Treatment of Erectile dysfunctionTreatment of Pulmonary arterial hypertension (PAH)
Ginkgo Biloba (60mg) + Piracetam (800mg) + Vinpocetine (5mg), Cognitive enhancer
Timolol (5mg) + Travoprost (40mcg),Treatment of GlaucomaTreatment of Ocular hypertension
Topiramate (50mg), Epilepsy/SeizuresPrevention of Migraine Lennox–Gastaut syndrome
Carboxymethylcellulose (0.5% w/v),Treatment of Dry eyes
Telmisartan (40mg) + Metoprolol Succinate (50mg),Treatment of Hypertension (high blood pressure)
Tolperisone (150mg), Muscle relaxation
Telmisartan (40mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Metformin (500mg) + Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Telmisartan (40mg) + Amlodipine (5mg) + Hydrochlorothiazide (12.5mg), Hypertension (high blood pressure)
Tolterodine (2mg),Treatment of Overactive bladder (OAB) symptoms
Telmisartan (40mg) + Metoprolol Succinate (25mg),Treatment of Hypertension (high blood pressure)
Telmisartan (40mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Glimepiride (2mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Tiotropium (18mcg),Treatment of Chronic obstructive pulmonary disease (COPD)
Telmisartan (40mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Prilocaine (2.5% w/w) + Lidocaine (2.5% w/w), Local anesthesia (Numb tissues in a specific area)
Minoxidil (2% w/v),Treatment of Hair loss
Tetrabenazine (25mg),Treatment of chorea (a movement disorder) associated with Huntington's disease
Telmisartan (40mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Tamsulosin  (0.4mg) +  Dutasteride (0.5mg),Treatment of Benign prostatic hyperplasia
Thyroxine (88mcg),Treatment of Hypothyroidism
Tretinoin (0.05% w/w),Treatment of Acne Acute promyelocytic leukaemia
Beclometasone (0.025% w/v) + Clotrimazole (1% w/v),Treatment of Fungal skin infections
Tacrolimus (0.1% w/w),Treatment of Atopic dermatitis
Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Carbamazepine (100mg), Epilepsy/Seizures Trigeminal neuralgia Diabetic nerve pain
Triamcinolone (4mg),Treatment of Rheumatoid arthritisTreatment of Osteoarthritis
Trimetazidine (35mg),Treatment of Angina (heart-related chest pain)
Telmisartan (40mg) + Hydrochlorothiazide (12.5mg),Treatment of Hypertension (high blood pressure)
Extractum Cepae-Cepalin (0.1gm) + Heparin (50IU) + Allantoin (0.01gm), Burns
Isotretinoin (20mg),Treatment of Acne
Paracetamol (250mg/5ml), Pain reliefTreatment of Fever
Telmisartan (40mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Clobetasol (0.05% w/w) + Salicylic Acid (3% w/w),Treatment of EczemaTreatment of Psoriasis
Phenylephrine (5mg/5ml) + Chlorpheniramine Maleate (2mg/5ml) + Dextromethorphan Hydrobromide (10mg/5ml),Treatment of Dry cough
Glimepiride (2mg) + Metformin (1000mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Terbinafine (1% w/w), Fungal skin infections
Beclometasone (0.025% w/v) + Clotrimazole (1% w/v),Treatment of Fungal skin infections
Torasemide (5mg),Treatment of Hypertension (high blood pressure)Treatment of Edema
Telmisartan (40mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Telmisartan (80mg) + Amlodipine (5mg) + Hydrochlorothiazide (12.5mg), Hypertension (high blood pressure)
Phenylephrine (5mg) + Chlorpheniramine Maleate (2mg) + Dextromethorphan Hydrobromide (10mg),Treatment of Dry cough
Telmisartan (40mg) + Metoprolol Succinate (50mg),Treatment of Hypertension (high blood pressure)
Telmisartan (40mg) + Hydrochlorothiazide (12.5mg),Treatment of Hypertension (high blood pressure)
Telmisartan (40mg) + Amlodipine (5mg) + Hydrochlorothiazide (12.5mg), Hypertension (high blood pressure)
Ginkgo biloba extract (EGb 761) (120mg), Pain relief
Tranexamic Acid (500mg) + Mefenamic Acid (250mg),Treatment of Heavy menstrual bleedingTreatment of Menstrual pain
Glimepiride (1mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Ticagrelor (90mg), Prevention of heart attack and stroke
Olmesartan Medoxomil (20mg) + Amlodipine (5mg) + Hydrochlorothiazide (12.5mg), Hypertension (high blood pressure)
Trazodone (50mg), Depression
Mometasone (0.1% w/w) + Terbinafine (1% w/w),Treatment of Fungal skin infections
Thyroxine (150mcg),Treatment of Hypothyroidism
Telmisartan (80mg) + Amlodipine (5mg) + Hydrochlorothiazide (12.5mg), Hypertension (high blood pressure)
Tacrolimus (0.1% w/w),Treatment of Atopic dermatitis
Aceclofenac (100mg) + Paracetamol (325mg) + Serratiopeptidase (15mg), Pain relief
Tadalafil (10mg) + Dapoxetine (30mg),Treatment of Premature ejaculation
Thalidomide (50mg), Multiple myeloma Lepra reaction
Telmisartan (40mg) + Chlorthalidone (6.25mg), Hypertension (high blood pressure)
Amitriptyline (10mg),Treatment of Depression Neuropathic painTreatment of Migraine
Terbinafine (250mg), Fungal infections
Aceclofenac (100mg) + Thiocolchicoside (4mg),Treatment of Pain due to muscle spasm
Telmisartan (40mg) + Cilnidipine (10mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Terbinafine (1% w/w), Fungal skin infections
Telmisartan (20mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Tazarotene (0.1% w/w), Psoriasis Acne
Cefotaxime (1000mg) + Sulbactam (500mg),Treatment of Bacterial infections
Telmisartan (40mg) + Amlodipine (5mg) + Chlorthalidone (6.25mg), Hypertension (high blood pressure)
Telmisartan (40mg) + Chlorthalidone (6.25mg), Hypertension (high blood pressure)
Terbinafine (500mg), Fungal infections
Chlorpromazine (50mg) + Trihexyphenidyl (2mg) + Trifluoperazine (5mg), Schizophrenia
Beclometasone (0.025% w/w) + Neomycin (0.5% w/w) + Clotrimazole (1% w/w),Treatment of Skin infections
Carbamazepine (300mg), Epilepsy/Seizures Trigeminal neuralgia Diabetic nerve pain
Tobramycin (0.3% w/v),Treatment of Bacterial eye infections
Famotidine (20mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Heartburn
Telmisartan (40mg) + Cilnidipine (10mg) + Chlorthalidone (6.25mg), Hypertension (high blood pressure)
Tetanus Immunoglobulin (500IU),Prevention of Tetanus
Telmisartan (40mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Ticagrelor (90mg), Prevention of heart attack and stroke
Tamsulosin (0.4mg),Treatment of Benign prostatic hyperplasia
Tamoxifen (10mg), Breast cancer
Telmisartan (40mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Aceclofenac (100mg) + Paracetamol (325mg), Pain relief
Tacrolimus (0.03% w/w),Treatment of Atopic dermatitis
Metformin (1000mg) + Linagliptin (2.5mg),Treatment of Type 2 diabetes mellitus
Telmisartan (40mg) + Rosuvastatin (10mg), High blood pressure with high cholesterol
Amylmetacresol (0.6mg) + Dextromethorphan Hydrobromide (5mg), Dry cough
Cefixime (100mg/5ml),Treatment of Bacterial infections
Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Trypsin (48mg) + Bromelain (90mg) + Rutoside (100mg) + Diclofenac (50mg), Pain relief
Testosterone (100mg),Treatment of Male hypogonadism
Thiocolchicoside (4mg) + Aceclofenac (100mg) + Paracetamol (325mg),Treatment of Muscular pain
Glimepiride (2mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Metformin  (1000mg) +  Vildagliptin (50mg),Treatment of Type 2 diabetes mellitus
Telmisartan (80mg) + Hydrochlorothiazide (12.5mg),Treatment of Hypertension (high blood pressure)
Telmisartan (80mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Glimepiride (1mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Thalidomide (100mg), Multiple myeloma Lepra reaction
Glimepiride (2mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Telmisartan (40mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Thyroxine (125mcg),Treatment of Hypothyroidism
Glimepiride (1mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Telmisartan (40mg) + Metoprolol Succinate (25mg),Treatment of Hypertension (high blood pressure)
Hydroquinone (2% w/w) + Mometasone (0.1% w/w) + Tretinoin (0.025% w/w),Treatment of Melasma
Topiramate (50mg), Epilepsy/SeizuresPrevention of Migraine Lennox–Gastaut syndrome
Sodium Valproate (333mg) + Valproic Acid (145mg), Epilepsy
Tacrolimus (0.1% w/w),Treatment of Atopic dermatitis
Metformin (500mg) + Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Levocetirizine (2.5mg) + Montelukast (4mg),Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions
Telmisartan (40mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Travoprost (0.004% w/v),Treatment of GlaucomaTreatment of Ocular hypertension
Amitriptyline (10mg) + Propranolol (40mg), Migraine
Tropicamide (1% w/v), Eye examination Uveitis
Cefixime (50mg) + Clavulanic Acid (31.25mg),Treatment of Bacterial infections
Tranexamic Acid (250mg),Treatment of Bleeding
Spironolactone (25mg) + Torasemide (10mg),Treatment of Edema
Telmisartan (40mg) + Hydrochlorothiazide (12.5mg),Treatment of Hypertension (high blood pressure)
Fenofibrate (160mg) + Rosuvastatin (10mg),Treatment of High cholesterolPrevention of Heart attack
Emtricitabine (200mg) + Tenofovir disoproxil fumarate (300mg), HIV infection
Telmisartan (80mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Tiotropium (9mcg),Treatment of Chronic obstructive pulmonary disease (COPD)
Tamsulosin (0.4mg) + Deflazacort (30mg),Treatment of Kidney stone
Tenofovir Alafenamide (25mg), Chronic hepatitis B virus (HBV) infection
Atenolol (25mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Benzydamine (0.15% w/v), Pain relief
Bromelain (180mg) + Trypsin (96mg) + Rutoside (200mg), Pain relief
Clobetasol (0.05% w/w),Treatment of Allergic skin conditions
Atorvastatin (10mg) + Ezetimibe (10mg), High cholesterol
Tranexamic Acid (500mg) + Mefenamic Acid (250mg),Treatment of Heavy menstrual bleedingTreatment of Menstrual pain
Ticagrelor (90mg), Prevention of heart attack and stroke
Telmisartan (40mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Telmisartan (40mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Tolperisone (450mg), Muscle relaxation
Terbinafine (250mg), Fungal infections
Glimepiride (2mg) + Metformin (500mg) + Voglibose (0.3mg),Treatment of Type 2 diabetes mellitus
Telmisartan (40mg) + Amlodipine (5mg) + Hydrochlorothiazide (12.5mg), Hypertension (high blood pressure)
Teicoplanin (200mg), Severe bacterial infections
Oxybutynin (5mg),Treatment of Overactive bladder (OAB) symptoms
Prilocaine (2.5% w/w) + Lidocaine (2.5% w/w), Local anesthesia (Numb tissues in a specific area)
Telmisartan (80mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Triamcinolone (0.1% w/w),Treatment of Rheumatoid arthritisTreatment of Osteoarthritis
Cefotaxime (250mg),Treatment of Bacterial infections
Clobetasol (0.05% w/w) + Miconazole (2% w/w) + Neomycin (0.1% w/w),Treatment of Skin infections
Telmisartan (20mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Telmisartan (40mg) + Hydrochlorothiazide (12.5mg),Treatment of Hypertension (high blood pressure)
Trazodone (25mg), Depression
Tianeptine (12.5mg), Depression
Telmisartan (80mg) + Amlodipine (5mg) + Hydrochlorothiazide (12.5mg), Hypertension (high blood pressure)
Ciclesonide (200mcg) + Formoterol (6mcg) + Tiotropium (9mcg), Chronic obstructive pulmonary disease (COPD)
Telmisartan (40mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Glibenclamide (5mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Telmisartan (80mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Bromelain (90mg) + Trypsin (48mg) + Rutoside (100mg), Pain relief
Trypsin (48mg) + Bromelain (90mg) + Rutoside (100mg) + Diclofenac (50mg), Pain relief
Tretinoin (0.04% w/w),Treatment of Acne Acute promyelocytic leukaemia
Telmisartan (40mg) + Metoprolol Succinate (50mg),Treatment of Hypertension (high blood pressure)
Tacrolimus (0.03% w/w),Treatment of Atopic dermatitis
Telmisartan (80mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Dulaglutide (0.75mg/0.5ml),Treatment of Type 2 diabetes mellitus
Cilnidipine (10mg) + Telmisartan (40mg),Treatment of Hypertension (high blood pressure)
Tranexamic Acid (500mg),Treatment of Bleeding
Tacrolimus (0.1% w/w),Treatment of Atopic dermatitis
Isotretinoin (10mg),Treatment of Acne
Salbutamol (4mg) + Theophylline (200mg),Treatment of Asthma
Domperidone (30mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Terbinafine (1% w/w), Fungal skin infections
Thiocolchicoside (4mg) + Aceclofenac (100mg) + Paracetamol (325mg),Treatment of Muscular pain
Metformin (500mg) + Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Telmisartan (80mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Thyroxine (150mcg),Treatment of Hypothyroidism
Nebivolol (5mg) + Telmisartan (40mg), Hypertension (high blood pressure)
Aceclofenac (100mg) + Thiocolchicoside (4mg),Treatment of Pain due to muscle spasm
Olmesartan Medoxomil (40mg) + Amlodipine (5mg) + Hydrochlorothiazide (12.5mg), Hypertension (high blood pressure)
Gabapentin (100mg) + Amitriptyline (10mg), Neuropathic pain
Telmisartan (80mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Minoxidil (5% w/v) + Aminexil (1.5% w/v), Hair loss
Atorvastatin (10mg) + Fenofibrate (145mg),Treatment of High cholesterolPrevention of Heart attack
Olmesartan Medoxomil (40mg) + Amlodipine (5mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Chloramphenicol (10mg) + Dexamethasone (1mg) + Polymyxin B (5000IU),Treatment of Bacterial eye infections
Tamsulosin (0.4mg),Treatment of Benign prostatic hyperplasia
Telmisartan (20mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Atenolol (50mg),Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack
Telmisartan (40mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Olanzapine (5mg),Treatment of SchizophreniaTreatment of Mania
Tranexamic Acid (500mg),Treatment of Bleeding
Tobramycin (0.3% w/v) + Fluorometholone (0.1% w/v),Treatment of Bacterial eye infections
Telmisartan (40mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Lactitol (10gm) + Ispaghula (3.5gm),Treatment of Constipation
Thyroxine (88mcg),Treatment of Hypothyroidism
Telmisartan (20mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Chondroitin (200mg) + Collagen Peptide (40mg) + Sodium Hyaluronate (30mg) + Vitamin C (35mg), Arthralgia (joint pain)
Carbamazepine (400mg), Epilepsy/Seizures Trigeminal neuralgia Diabetic nerve pain
Torasemide (10mg),Treatment of Hypertension (high blood pressure)Treatment of Edema
Isotretinoin (5mg),Treatment of Acne
Telmisartan (40mg) + Metoprolol Succinate (50mg),Treatment of Hypertension (high blood pressure)
Purified Vi Polysaccharide Typhoid Vaccine (25mcg),Prevention of Typhoid fever
Carbamazepine (400mg), Epilepsy/Seizures Trigeminal neuralgia Diabetic nerve pain
Torasemide (10mg),Treatment of Hypertension (high blood pressure)Treatment of Edema
Telmisartan (40mg) + Metoprolol Succinate (50mg),Treatment of Hypertension (high blood pressure)
Tranexamic Acid (500mg),Treatment of Bleeding
Tenofovir Alafenamide (25mg), Chronic hepatitis B virus (HBV) infection
Tadalafil (20mg),Treatment of Erectile dysfunctionTreatment of Pulmonary arterial hypertension (PAH)
Mometasone (0.1% w/w),Treatment of Skin conditions with inflammation & itching
Telmisartan (40mg) + Metoprolol Succinate (25mg),Treatment of Hypertension (high blood pressure)
Thyroxine (112mcg),Treatment of Hypothyroidism
Telmisartan (40mg) + Metoprolol Succinate (25mg),Treatment of Hypertension (high blood pressure)
Montelukast (10mg) + Fexofenadine (120mg),Treatment of Sneezing and runny nose due to allergies
Mometasone (0.1% w/w) + Terbinafine (1% w/w),Treatment of Fungal skin infections
Telmisartan (80mg) + Chlorthalidone (6.25mg), Hypertension (high blood pressure)
Telmisartan (40mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Rifaximin (200mg),Treatment of Infectious diarrhea
Telmisartan (40mg) + Amlodipine (5mg) + Hydrochlorothiazide (12.5mg), Hypertension (high blood pressure)
Lamivudine (300mg) + Tenofovir disoproxil fumarate (300mg) + Efavirenz (600mg),Treatment of HIV infection
Atorvastatin (10mg), High cholesterolPrevention of Heart attack
Telmisartan (40mg) + Indapamide (1.5mg), Hypertension (high blood pressure)
Sodium Hyaluronate (0.18% w/v),Treatment of Dry eyes
Trifluoperazine (5mg) + Trihexyphenidyl (2mg), Schizophrenia
Telmisartan (40mg) + Hydrochlorothiazide (12.5mg),Treatment of Hypertension (high blood pressure)
Isoxsuprine (20mg),Treatment of Premature LaborTreatment of Peripheral vascular disease
Telmisartan (40mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Tranexamic Acid (500mg),Treatment of Bleeding
Tamsulosin  (0.4mg) +  Dutasteride (0.5mg),Treatment of Benign prostatic hyperplasia
Tobramycin (0.3% w/v), Bacterial eye / ear infectionsTreatment of Bacterial eye infections
Atenolol (50mg),Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack
Aceclofenac (200mg) + Thiocolchicoside (8mg),Treatment of Pain due to muscle spasm
Telmisartan (80mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Telmisartan (40mg) + Chlorthalidone (6.25mg), Hypertension (high blood pressure)
Phenylephrine (5mg/5ml) + Chlorpheniramine Maleate (2mg/5ml) + Dextromethorphan Hydrobromide (10mg/5ml),Treatment of Dry cough
Telmisartan (40mg) + Indapamide (1.5mg), Hypertension (high blood pressure)
Tobramycin (0.3% w/v),Treatment of Bacterial eye infections
Thiocolchicoside (8mg) + Aceclofenac (100mg) + Paracetamol (325mg),Treatment of Muscular pain
Levocetirizine (5mg),Treatment of Allergic conditions
Metformin (500mg) + Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Metformin (1000mg) + Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Trospium (60mg),Treatment of Overactive bladder (OAB) symptoms
Tolvaptan (15mg),Treatment of Low levels of sodium in the blood
Travoprost (0.004% w/v),Treatment of GlaucomaTreatment of Ocular hypertension
Formoterol (6mcg) + Tiotropium (9mcg), Chronic obstructive pulmonary disease (COPD)
Telmisartan (40mg) + Metoprolol Succinate (50mg),Treatment of Hypertension (high blood pressure)
Aceclofenac (100mg) + Paracetamol (325mg) + Serratiopeptidase (15mg), Pain relief
Escitalopram Oxalate (10mg),Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder
Atenolol (25mg),Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack
Torasemide (20mg),Treatment of Hypertension (high blood pressure)Treatment of Edema
Sodium Valproate (500mg), Epilepsy/SeizuresPrevention of Migraine Bipolar disorder
Trazodone (50mg), Depression
Thyroxine (62.5mcg),Treatment of Hypothyroidism
Tenofovir disoproxil fumarate (300mg),Treatment of Chronic hepatitis B virus (HBV) infection
Torasemide (10mg),Treatment of Hypertension (high blood pressure)Treatment of Edema
Olmesartan Medoxomil (40mg) + Amlodipine (5mg) + Hydrochlorothiazide (12.5mg), Hypertension (high blood pressure)
Tranexamic Acid (500mg),Treatment of Bleeding
Telmisartan (40mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Metformin (1000mg) + Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Clobetasol (0.05% w/v) + Salicylic Acid (6% w/v),Treatment of EczemaTreatment of Psoriasis
Timolol (0.5% w/v), Glaucoma Ocular hypertension
Tolperisone (450mg), Muscle relaxation
Telmisartan (40mg) + Metoprolol Succinate (25mg),Treatment of Hypertension (high blood pressure)
Atenolol (25mg),Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack
Telmisartan (40mg) + Cilnidipine (10mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Tacrolimus (0.1% w/v),Treatment of Atopic dermatitis
Telmisartan (40mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Tolvaptan (15mg),Treatment of Low levels of sodium in the blood
Tacrolimus (0.1% w/v),Treatment of Oral lichen planus
Sodium Valproate (200mg) + Valproic Acid (87mg), Epilepsy
Tacrolimus (1mg), Prevention of organ rejection in transplant patients
Topiramate (100mg), Epilepsy/SeizuresPrevention of Migraine Lennox–Gastaut syndrome
Telmisartan (40mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Telmisartan (40mg) + Amlodipine (2.5mg),Treatment of Hypertension (high blood pressure)
Heparin (1000IU/ml),Prevention of Blood clots
Terbinafine (1% w/w), Fungal skin infections
Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Terbinafine (1% w/w), Fungal skin infections
Metformin (500mg) + Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Telmisartan (40mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Ketoconazole (2% w/v) + Zinc pyrithione (1% w/v),Treatment of Fungal skin infectionsTreatment of Dandruff
Telmisartan (20mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Isotretinoin (30mg),Treatment of Acne
Amitriptyline (50mg),Treatment of Depression Neuropathic painTreatment of Migraine
Telmisartan (40mg) + Hydrochlorothiazide (12.5mg),Treatment of Hypertension (high blood pressure)
Ceftriaxone (1000mg) + Sulbactam (500mg), Bacterial infections
Tacrolimus (0.1% w/w),Treatment of Atopic dermatitis
Metformin (500mg) + Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Telmisartan (40mg) + Chlorthalidone (6.25mg), Hypertension (high blood pressure)
Metformin (500mg) + Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Etodolac (600mg), Pain relief
Telmisartan (40mg) + Hydrochlorothiazide (12.5mg),Treatment of Hypertension (high blood pressure)
Hydroxypropylmethylcellulose (0.3% w/v) + Dextran 70 (0.1% w/v),Treatment of Dry eyes
Tacrolimus (1mg), Prevention of organ rejection in transplant patients
Telmisartan (20mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Fenofibrate (160mg), High cholesterol
Tranexamic Acid (250mg) + Ethamsylate (250mg), Heavy menstrual bleeding
Metformin (500mg) + Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Rifaximin (550mg),Treatment of Hepatic encephalopathyTreatment of Infectious diarrhea
Telmisartan (80mg) + Hydrochlorothiazide (12.5mg),Treatment of Hypertension (high blood pressure)
Metformin (1000mg) + Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Tigecycline (50mg), Severe bacterial infections
Telmisartan (40mg) + Metoprolol Succinate (50mg),Treatment of Hypertension (high blood pressure)
Almagate (500mg/5ml) + Simethicone (25mg/5ml), Heartburn
Tretinoin (0.025% w/w),Treatment of Acne Acute promyelocytic leukaemia
Recombinant Human Erythropoietin Alfa (4000IU/ml),Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy
